template_id,name,tier,housing_need,required_foods,favourite_foods,favourite_is_junk,virtues,vices,extraction,farming,hunting,crafting,labour,transport,extraction_cap,farming_cap,hunting_cap,crafting_cap,labour_cap,transport_cap,required_workplace,signing_fee
t2_holt_haven_034,Holt Haven,2,1,t1;t2,wheat_bread,0,Loyal;Patient,Moody;Nervous,3,3,3,4,4,4,6,7,3,7,6,6,,4
t3_dara_field_035,Dara Field,3,2,t1;t2;t3,spiced_stew,1,Kind;Diligent,,4,6,6,6,6,6,8,7,6,10,9,7,craft_bench,5
t1_dara_hill_036,Dara Hill,1,1,t1,wheat_bread,0,Diligent,Lazy,4,3,4,3,5,4,5,5,4,5,6,4,,0
t1_willa_brook_037,Willa Brook,1,1,t1,meat_stew,0,Kind,Glutton,1,2,3,4,2,2,4,5,4,4,5,3,,0
t2_giles_shore_038,Giles Shore,2,2,t1;t2,grilled_meat,1,Kind;Diligent,Restless;Picky,4,5,4,4,4,5,4,6,7,7,5,6,,2
t1_tara_glen_039,Tara Glen,1,1,t1,mushroom_soup,0,Loyal,Nervous,3,3,2,2,3,4,3,3,4,2,5,4,,1
t2_vera_mill_040,Vera Mill,2,1,t1;t2,grilled_meat,1,Loyal;Steady,Restless;Picky,4,5,4,5,4,5,4,5,5,7,4,5,,4
t2_pax_heath_041,Pax Heath,2,2,t1;t2,mushroom_soup,0,Kind,Moody;Picky,2,5,2,2,4,2,6,8,4,3,7,3,farm,2
t1_mira_mill_042,Mira Mill,1,1,t1,souper_greens,0,Kind,Glutton,3,5,2,1,3,4,3,6,4,4,3,5,,0
t3_rhea_lake_043,Rhea Lake,3,2,t1;t2;t3,mushroom_soup,0,Hardy,Greedy,4,5,4,4,4,3,4,9,10,6,10,6,farm,5
t2_rhea_quarry_044,Rhea Quarry,2,1,t1;t2,grilled_meat,1,Curious,Glutton;Lazy,7,2,5,4,5,3,8,3,6,4,7,7,,2
t2_faye_quarry_045,Faye Quarry,2,1,t1;t2,souper_greens,0,Kind,Lazy;Glutton,4,2,4,5,4,6,5,4,6,7,7,6,craft_bench,3
t3_dara_run_046,Dara Run,3,3,t1;t2;t3,souper_greens,0,Kind;Patient,Picky,6,5,4,7,3,3,8,7,9,7,10,4,craft_bench,8
t2_kira_stone_047,Kira Stone,2,2,t1;t2,blackberries,0,Cheerful;Patient,Glutton;Greedy,4,2,4,5,2,4,6,7,5,5,5,4,craft_bench,2
t3_bram_thorn_048,Bram Thorn,3,3,t1;t2;t3,fish_soup,0,Curious;Hardy,Stubborn,3,3,4,6,5,7,5,4,7,9,6,8,craft_bench,6
t2_joss_thorn_049,Joss Thorn,2,1,t1;t2,,0,Loyal,Nervous;Restless,5,6,2,5,4,4,6,6,5,5,7,4,farm,4
t3_nell_glen_050,Nell Glen,3,2,t1;t2;t3,grilled_meat,0,Curious;Hardy,Greedy;Lazy,6,4,7,6,6,6,10,8,7,6,6,6,hunter,8
t2_holt_moor_051,Holt Moor,2,2,t1;t2,spiced_stew,1,Curious;Hardy,Moody,5,5,2,4,4,3,7,7,6,6,6,3,farm,3
t2_xander_mill_052,Xander Mill,2,1,t1;t2,grilled_meat,1,Loyal,Lazy,3,5,5,6,3,2,6,7,7,7,6,6,,4
t2_hana_brook_053,Hana Brook,2,1,t1;t2,wheat_bread,0,Hardy;Kind,Lazy;Picky,2,5,2,4,5,3,7,6,6,6,7,3,farm,2
t3_hana_haven_054,Hana Haven,3,2,t1;t2;t3,,0,Kind,,4,5,7,5,3,5,6,7,10,10,10,5,,8
t2_reed_mill_055,Reed Mill,2,2,t1;t2,honey,0,Curious,Picky,4,3,2,5,6,2,7,7,5,7,6,6,craft_bench,4
t1_nell_ford_056,Nell Ford,1,1,t1,grilled_fish,1,Diligent,Glutton,3,2,2,2,4,5,5,5,3,3,4,6,,0
t3_orin_field_057,Orin Field,3,3,t1;t2;t3,fish_soup,0,Patient;Diligent,Nervous;Stubborn,5,6,4,4,6,6,8,7,10,10,6,8,farm,7
t2_finn_north_058,Finn North,2,1,t1;t2,fish_soup,0,Diligent;Steady,Nervous,6,5,5,4,5,4,6,5,7,5,5,5,,4
t3_ivy_stone_059,Ivy Stone,3,2,t1;t2;t3,wheat_bread,0,Kind,Lazy,4,4,4,6,5,5,7,10,8,6,6,5,,5
t1_holt_pine_060,Holt Pine,1,1,t1,honey,0,Patient,Stubborn,1,2,2,3,1,5,4,5,2,3,5,5,,0
t3_xander_oaks_061,Xander Oaks,3,2,t1;t2;t3,spiced_stew,1,Curious,Picky;Stubborn,5,6,4,4,6,5,10,9,10,4,6,6,farm,7
t3_hana_moor_062,Hana Moor,3,3,t1;t2;t3,wheat_bread,0,Hardy;Steady,Picky;Stubborn,3,7,3,5,6,6,10,8,10,8,9,8,farm,8
t2_finn_mill_063,Finn Mill,2,2,t1;t2,meat_stew,0,Loyal,Picky,4,5,6,5,5,4,6,7,6,6,5,7,hunter,3
t1_hana_oaks_064,Hana Oaks,1,1,t1,grilled_meat,0,Kind,Moody,3,4,2,5,4,2,4,4,5,5,4,4,,0
t2_bram_mill_065,Bram Mill,2,1,t1;t2,wheat_bread,0,Cheerful;Diligent,Moody;Restless,4,3,3,5,5,5,7,3,3,5,5,7,craft_bench,2
t2_kade_loch_066,Kade Loch,2,2,t1;t2,grilled_meat,0,Cheerful,,3,5,6,5,3,2,4,5,7,7,7,3,,3
t3_zara_ridge_067,Zara Ridge,3,3,t1;t2;t3,meat_stew,1,Cheerful;Patient,Greedy;Stubborn,4,4,4,3,4,4,10,7,10,8,6,5,farm,5
t1_pax_field_068,Pax Field,1,1,t1,grilled_meat,0,Diligent,Greedy,3,1,1,3,2,3,5,2,2,5,5,6,,0
t2_pia_oaks_069,Pia Oaks,2,2,t1;t2,souper_greens,0,Kind;Hardy,Nervous,5,5,4,4,5,3,6,5,5,6,8,5,farm,3
t1_sage_springs_070,Sage Springs,1,1,t1,grilled_meat,1,Steady,,5,2,3,2,4,3,5,4,3,5,5,4,,0
t3_nell_bay_071,Nell Bay,3,2,t1;t2;t3,,0,Loyal,Restless;Nervous,3,3,4,5,6,6,10,7,6,8,6,6,craft_bench,5
t1_zel_creek_072,Zel Creek,1,1,t1,blackberries,0,Cheerful,Stubborn,3,3,2,1,3,3,4,3,5,2,4,4,,0
t1_oona_ford_073,Oona Ford,1,1,t1,souper_greens,0,Curious,Restless,4,3,1,3,2,3,4,4,5,5,6,5,,0
t2_isla_haven_074,Isla Haven,2,2,t1;t2,souper_greens,0,Patient,Moody,2,4,3,3,6,2,6,7,6,6,8,4,,2
t2_vera_thorn_075,Vera Thorn,2,2,t1;t2,blackberries,0,Curious;Kind,Nervous;Lazy,3,4,5,3,4,4,5,5,7,6,7,6,hunter,3
t2_xander_north_076,Xander North,2,2,t1;t2,fish_soup,0,Loyal,,2,5,4,3,5,3,5,7,7,4,7,3,,4
t1_dell_hill_077,Dell Hill,1,1,t1,spiced_stew,0,Diligent,Stubborn,4,3,3,1,2,2,5,5,4,2,2,5,,0
t3_lina_shore_078,Lina Shore,3,3,t1;t2;t3,,0,Loyal,Picky,5,6,6,6,3,4,8,7,8,10,6,9,craft_bench,8
t2_tess_bay_079,Tess Bay,2,1,t1;t2,grilled_fish,1,Steady;Loyal,Lazy;Nervous,3,4,2,5,6,4,6,5,5,5,7,6,craft_bench,4
t1_dell_knoll_080,Dell Knoll,1,1,t1,wheat_bread,0,Diligent,Lazy,3,3,2,2,3,4,4,4,5,5,4,4,,0
t2_leif_hill_081,Leif Hill,2,2,t1;t2,blackberries,0,Diligent,Lazy;Picky,3,5,5,7,5,2,7,5,5,7,6,7,craft_bench,3
t2_ash_mill_082,Ash Mill,2,2,t1;t2,honey,0,Hardy,Glutton,2,2,5,4,4,5,6,5,5,7,7,6,,4
t2_holt_thorn_083,Holt Thorn,2,1,t1;t2,souper_greens,0,Patient,Restless,5,5,5,3,4,5,7,7,5,6,5,6,farm,2
t1_pia_lake_084,Pia Lake,1,1,t1,meat_stew,0,Hardy,Stubborn,4,2,2,2,3,4,4,2,4,4,3,4,,0
t1_kira_bay_085,Kira Bay,1,1,t1,mushroom_soup,0,Kind,Stubborn,3,4,2,4,4,3,5,5,4,4,4,5,,0
t3_bea_field_086,Bea Field,3,3,t1;t2;t3,grilled_meat,1,Patient;Diligent,Picky;Glutton,4,5,5,3,4,4,4,8,10,5,7,10,farm,8
t3_moss_mill_087,Moss Mill,3,2,t1;t2;t3,wheat_bread,0,Patient,Picky,5,6,5,5,6,5,8,10,7,7,9,10,farm,5
t2_yara_ford_088,Yara Ford,2,2,t1;t2,,0,Diligent,Restless;Lazy,3,5,3,4,5,5,5,7,6,6,7,6,,4
t1_jude_haven_089,Jude Haven,1,1,t1,blackberries,0,Cheerful,,1,4,2,2,4,3,2,4,2,2,6,3,,0
t2_jude_field_090,Jude Field,2,1,t1;t2,,0,Loyal,Glutton;Restless,7,2,3,3,4,4,7,3,4,7,6,7,,3
t3_tara_fern_091,Tara Fern,3,2,t1;t2;t3,mushroom_soup,0,Hardy,Stubborn;Restless,7,3,4,6,5,3,7,9,4,9,9,8,mason,5
t1_cora_shore_092,Cora Shore,1,1,t1,mushroom_soup,0,Hardy,Glutton,2,4,3,2,5,2,3,4,3,5,5,2,,0
t1_noah_north_093,Noah North,1,1,t1,honey,0,Curious,Nervous,5,3,4,2,1,2,5,5,5,5,4,2,,0
t1_vera_heath_094,Vera Heath,1,1,t1,meat_stew,1,Kind,Lazy,2,2,4,2,1,1,2,5,5,3,4,4,,0
t1_vance_run_095,Vance Run,1,1,t1,grilled_fish,0,Steady,Restless,3,2,3,3,3,1,4,2,6,4,4,4,,1
t2_ewan_hill_096,Ewan Hill,2,2,t1;t2,fish_soup,0,Steady,Picky;Moody,4,3,4,5,3,6,7,5,5,6,6,7,,3
t3_zel_marsh_097,Zel Marsh,3,3,t1;t2;t3,spiced_stew,1,Diligent,Nervous,4,5,4,6,4,5,7,10,10,9,9,6,craft_bench,7
t2_dara_dale_098,Dara Dale,2,2,t1;t2,honey,0,Steady;Loyal,Lazy;Glutton,3,3,3,5,5,2,5,7,8,6,5,3,,2
t2_yara_moor_099,Yara Moor,2,1,t1;t2,mushroom_soup,0,Curious,,5,4,2,3,6,5,5,7,3,5,7,5,forester,3
t1_vance_loch_100,Vance Loch,1,1,t1,spiced_stew,1,Cheerful,Lazy,2,2,3,4,2,4,3,3,5,5,5,4,,0
