module,source_lines,executable_lines,startup_load_lines,gameplay_lines,observed_lines,observed_percent,functions,functions_entered
field_plan_dialog.py,1833,1520,141,1,142,9.3,43,3
field_yield.py,688,540,92,0,92,17.0,22,0
food_spoilage.py,151,106,28,48,72,67.9,11,8
foods.py,28,4,0,0,0,0.0,0,0
game.py,29973,24224,1769,6189,7909,32.6,953,455
generate_terrain_fills.py,62,37,0,0,0,0.0,1,0
habitat_inspect_dialog.py,315,243,65,1,66,27.2,14,3
happiness.py,756,549,141,221,346,63.0,27,20
height_sample.py,506,380,81,140,204,53.7,22,16
icons.py,2033,1588,1045,744,1184,74.6,67,53
indicators.py,624,483,147,20,147,30.4,24,3
inventory_ui.py,726,567,58,0,58,10.2,14,0
landscape_fields.py,743,536,0,0,0,0.0,21,0
main.py,84,58,46,1,47,81.0,2,2
management_window.py,2081,1666,213,0,213,12.8,66,2
map_generator_tool.py,121,100,0,0,0,0.0,8,0
market_economy.py,187,107,87,33,96,89.7,3,2
number_input_dialog.py,197,164,33,2,35,21.3,10,2
objectives.py,298,214,0,46,46,21.5,2,1
perf_hud.py,309,256,57,13,70,27.3,12,7
player_inventory_dialog.py,485,388,63,1,64,16.5,16,4
preview_terrain_fills.py,888,680,0,0,0,0.0,24,0
quest_feedback.py,73,61,18,13,31,50.8,7,5
quest_navigation.py,124,101,30,16,46,45.5,12,6
quest_progress.py,482,368,0,82,82,22.3,31,1
quest_ui.py,77,67,0,0,0,0.0,4,0
rain_effect.py,84,66,22,2,24,36.4,4,3
random_map_generator.py,506,409,0,0,0,0.0,21,0
recipes.py,840,596,305,104,394,66.1,43,30
resource_balance.py,720,437,278,94,372,85.1,26,20
resource_bar.py,580,458,62,132,194,42.4,17,6
resource_inspect_dialog.py,241,191,50,3,53,27.7,13,4
resource_tracker.py,169,118,56,6,62,52.5,19,8
resource_tracker_dialog.py,506,397,61,3,64,16.1,21,4
resources.py,593,415,179,77,247,59.5,16,12
save_load.py,2431,1977,1096,0,1096,55.4,24,13
scenario.py,2088,1780,274,12,286,16.1,80,13
scenario_dialog.py,302,262,45,11,56,21.4,10,4
seasons.py,509,285,131,90,203,71.2,52,32
settings.py,721,508,498,6,498,98.0,12,9
shade_icons_png.py,154,120,0,0,0,0.0,3,0
simulation/__init__.py,5,1,1,0,1,100.0,0,0
simulation/compost.py,192,146,12,5,17,11.6,7,1
society.py,1459,1074,411,113,515,48.0,74,34
sociopolitical.py,1052,813,547,11,558,68.6,28,6
sociopolitical_hooks.py,1027,803,0,91,91,11.3,32,2
sociopolitical_ui.py,733,589,87,12,99,16.8,37,12
soil.py,358,217,84,33,112,51.6,26,14
soil_texture.py,228,163,128,4,128,78.5,10,9
sound_settings_dialog.py,63,51,17,2,19,37.3,8,2
sound_system.py,234,209,92,98,183,87.6,10,9
speed_run_economy.py,178,127,0,0,0,0.0,6,0
status_effects_ui.py,592,452,88,0,88,19.5,17,0
subtile_layout.py,338,254,205,157,226,89.0,16,14
subtile_test_map.py,69,57,0,0,0,0.0,1,0
terrain_fills.py,527,393,94,27,121,30.8,30,6
terrain_flecks.py,692,544,103,20,123,22.6,25,3
terrain_mottle.py,573,393,87,146,233,59.3,30,14
terrain_overlays.py,322,246,41,141,182,74.0,14,10
terrain_settings.py,384,260,122,16,138,53.1,29,8
terrain_tiles.py,22,8,6,1,7,87.5,1,1
terrain_tiles_png.py,980,751,0,0,0,0.0,42,0
terrain_tiles_procedural.py,663,482,88,163,251,52.1,27,9
time_demo.py,406,330,0,0,0,0.0,19,0
toolbar.py,455,363,143,150,226,62.3,11,8
track_villagers_year.py,285,204,0,0,0,0.0,3,0
traits.py,234,174,116,45,161,92.5,12,9
trees.py,163,114,91,12,101,88.6,9,7
tutorial_checkpoints.py,55,13,0,13,13,100.0,2,2
tutorial_progress.py,246,152,0,0,0,0.0,6,0
ui.py,2490,1933,127,811,937,48.5,43,23
villager_inspect_dialog.py,1773,1460,150,1,151,10.3,29,3
villager_priority_ui.py,321,255,45,0,45,17.6,11,0
villager_roster.py,1028,824,176,48,224,27.2,29,7
weather.py,128,105,29,0,29,27.6,6,1
wild_species.py,891,666,506,135,543,81.5,26,22
wildlife.py,5083,4025,917,1158,1831,45.5,233,133
wildlife_repopulate_dialog.py,123,97,27,2,29,29.9,11,2
wildlife_species.py,258,183,141,16,157,85.8,12,8
world.py,4284,3384,1751,1024,2302,68.0,168,116
